_id,bill-id,category,name,status,pass-fail,house-yea,house-nay,senate-yea,senate-nay,summary-author,summary-text,vtd-url
1,S.40,Education,Lead testing in schools/child care centers,Signed into law,pass,138,3,27,0,Lola Duffort,"S.40 sets the action level for remediation at 4 parts per billion and allocates $3 million to cover the costs of testing and help schools and child care centers remediate. The measure gives the state until Dec. 31, 2020, to complete testing statewide. Advocates are touting this as the strongest lead-testing bill in the country.",https://vtdigger.org/vtd_series/lead-testing-2019/
2,H.3,Education,Ethnic equity curriculum,Signed into Act 1,pass,140,0,27,0,Lola Duffort,"H.3, now Act 1, established a 20-member task force charged with recommending to the State Board of Education changes to Vermont’s statewide academic standards. By law, curriculum is set at the local level, but advocates hope to use the standards, which broadly define what students should know, to encourage schools to better include the history and contributions of marginalized groups in their lesson plans. It was strongly backed by racial justice, LGBTQ, indigenous, and civil rights advocates. It passed the House and Senate unanimously.",https://vtdigger.org/tag/ethnic-studies/
3,N/A,Education,Child care subsidies,Included in Budget bill,pass,,,,,Lola Duffort,"The state's budget this year included a $7.4 million package for child care. The bulk of that is a $5.7 million boost for child care subsidies. According to an analysis by advocates, a single parent earning $15 an hour with two children is currently paying $250 weekly for child care, even with subsidies. That should go down to about $153 a week.",https://vtdigger.org/tag/child-care-subsidies/
4,H.521,Education,Special ed delay,Included in Budget bill,pass,,,,,Lola Duffort,"Lawmakers included language in this year's budget bill to postpone implementation of Act 173, a major overhaul to the state's special education system, by one year. Special education and school officials had asked the Legislature for the delay, arguing the state just wasn't ready to make the change. Act 173 transitions the state from a reimbursement model to a census block-grant funding mechanism for special education.",https://vtdigger.org/tag/h-521/
5,H.39,Education,Act 46 merger delays,No agreement in conference committee,fail,,,,,Lola Duffort,"A tri-partisan group of legislators advocated to delay forced mergers under Act 46, the school district consolidation law, by one year. A version of H.39 made it through both the House and the Senate, but talks between the two chambers fell apart on a compromise bill.",https://vtdigger.org/tag/h-39/
6,N/A,Education,Free college,No bill proposed,fail,,,,,Lola Duffort,"Senate lawmakers say they're still interested in some form of ""free college"" bill, although they have said since early in the session that the measure would have to wait until the second half of the biennium. The bill wouldn't cover the entire cost of a college education.",https://vtdigger.org/tag/s-38/
7,N/A,Education,VT state colleges tuition,Included in Budget bill,pass,,,,,Lola Duffort,"Lawmakers approved a $2.5 million boost to the Vermont State Colleges System. In return, the college brought down a planned 3% tuition increase to 1%.",https://vtdigger.org/2019/05/22/tuition-freeze-deal-state-colleges-falls-apart/
8,S.18,Business,Liability and consumer protection,,pass,no roll call,no roll call,29,0,Kit Norton,"S.18 bars companies from entering into contracts with conditions that would exempt them from some kinds of legal liability. The bill would go into effect Oct 1, 2020 and was largely targeted at the telecommunications industry. A similar bill was vetoed by Gov. Phil Scott last year after pushback from the outdoor recreational companies. But this time, the House decided to exempt the outdoor industry, making another veto unlikely.",https://vtdigger.org/2019/02/01/opponents-raise-objections-consumer-protection-bill
9,H.518,Criminal Justice,Fair and impartial policing ,Signed into Act 41,pass,126,15,no roll call,no roll call,Kit Norton,"Signed by the governor on May 30, H.518 updates and clarifies mandatory implicit bias training for all the state’s law enforcement agencies. It also attempts to address communications between law enforcement and federal agencies about immigration status, but advocates say it doesn’t go far enough to restrict contact between local police and the federal government.",https://vtdigger.org/tag/fair-and-impartial-policing/
10,S.54,Business,Legal market for marijuana ,Stalled in House committee,fail,,,,,Kit Norton,"S.54, which would have created a legal market for marijuana, died in the House tax committee this year. There was an appetite in the Senate to see it pass this session, but House leadership did not view it as a top priority. Changes to the legislation made by the House in an attempt to gain the support of Gov. Phil Scott did not get Senate support. Both chambers have said it is a top priority for next year.  ",https://vtdigger.org/tag/s-54/ 
11,S.132,Criminal Justice,Hate crimes and racial bias incident reporting,Stalled in Senate,fail,,,,,Kit Norton,"S.132 proposed to expand the attorney general’s authority to investigate hate crimes and incidents of racial bias, but this piece of legislation died after racial justice advocates voiced concern with the bill. Senate lawmakers are going back to the drawing board on this proposal over the summer and come back next session with a stronger bill. ",https://vtdigger.org/tag/s-132/
12,S.169,Criminal Justice,24-hour waiting period for handgun purchases,Vetoed by governor,fail,82,58,20,10,Kit Norton,"S.169, which was vetoed by Gov. Phil Scott on June 10, would mandate a 24-hour waiting period before purchases of handguns could be finalized. Scott justified the action by claiming the bill did not address underlying causes of violence and suicide.",https://vtdigger.org/tag/s-169/
13,S.86,Health Care,Minimum age to buy tobacco moves from 18 to 21,Signed into Act 27,pass,124,14,no roll call,no roll call,Kit Norton,"On May 16, Gov. Phil Scott signed legislation to raise the minimum age to buy tobacco products and electronic cigarettes from 18 to 21 years of age. There was broad support for S.86 from public health advocates and from large tobacco and e-cigarette producers. The new law will take effect on Sep 1.",https://vtdigger.org/tag/s-86/
14,S.55,Health Care,Toxic chemical registry for children’s products,Awaiting governor's signature,pass,137,4,25,5,Iris Lewis,"The House and Senate passed S.55 that updates and clarifies the state’s collection and regulation of toxic chemicals in children’s products. The legislation, that Gov. Phil Scott vetoed last year, has not yet been sent to his desk, but the feeling from Democratic lawmakers is that they have addressed the administration’s concerns with the proposal.",https://vtdigger.org/tag/toxic-toys/
15,H.530,Military,Adjutant general pick,Stalled in conference committee,fail,,,,,Mark Johnson,"The House and Senate couldn’t agree on who should pick the head of the Vermont National Guard. The Senate gave the governor the authority to appoint the adjutant general, while the bill passed by the House, H. 530, kept the power to pick with lawmakers. With the selection of a new adjutant general, Greg Knight, in April to a two-year term using the current system, lawmakers said there was no urgency to resolve the issue this year and would take it back up in January.",https://vtdigger.org/2019/05/23/house-senate-punt-pick-adjutant-general-next-year/
16,N/A,Military,Nuke resolution,Stalled in committee,fail,,,22,7,Mark Johnson,"Senators and House members couldn’t agree on a resolution requesting Vermont remain nuclear-weapon free that included criticism of locating F-35 fighter jets in Vermont. Activists raised concerns the arriving F-35s would be nuclear-capable. The Senate passed a stripped down version of the anti-nuke resolution, while the House resolution never made it out of committee amid concerns some of the claims about the F-35 were inaccurate.",https://vtdigger.org/2019/05/22/senate-votes-oppose-nuclear-weapons-delivery-systems-vermont/
17,S.111,Military,Burn pits,,pass,,,30,0,Mark Johnson,"Both chambers agreed on S.111, a measure to raise awareness about the health dangers of overseas military burn pits, which has affected Vermonters, including Brig. Gen. Mike Heston, who died of pancreatic cancer last year. His widow, June, and others led an effort to encourage the medical and military community to have more service members sign up on a national registry tracking symptoms and complaints.",https://vtdigger.org/tag/military-burn-pits/
18,S.157,Politics,Ethics commission,Stalled in committee,fail,,,,,Mark Johnson,"There was little appetite to expand the powers of the state Ethics Commission. Some lawmakers felt the fledgling commission had overstepped its authority when it issued an advisory opinion about Gov. Phil Scott last year. The commission ruled Scott had a continuing conflict of interest because a construction company he co-owned, Dubois Construction—which does business with the state—owes him money from selling his share. Some lawmakers wanted to give the commission investigatory powers, but lawmakers balked at that idea.",https://vtdigger.org/2019/03/14/lawmakers-seek-to-modify-ethics-commission-procedures-after-scott-ruling/
19,S.23,Economy,Minimum wage,Stalled in conference committee,fail,,,,,Xander Landen,"Democrats failed to pass an increase to Vermont’s minimum hourly wage this year after the two chambers couldn’t find common ground. In the bill S.23, the Senate initially pushed for a $15 wage by 2020, but the House's watered down version wouldn’t reach $15 until at least 2026 (and likely even later). In the end, the Senate tried to get House lawmakers to agree to a $12.50 minimum wage by 2021. The House did not agree. ",https://vtdigger.org/tag/s-23/
20,H.107,Economy,Paid family leave,Stalled in conference committee,fail,,,,,Xander Landen,"Like the minimum wage bill, the House and Senate ultimately could not reach agreement on a paid family leave policy. The House passed a paid leave bill, H.107, that offered workers 12 weeks of parental leave, and eight weeks to care for ill family members, or take care of their own medical issues. To reduce the cost, the Senate scaled back the number of weeks offered and eliminated leave time for personal medical issues.  No agreement could be reached.",https://vtdigger.org/tag/h-107/
21,H.162,Health Care,Buprenorphine decriminalization,Stalled in committee,fail,,,,,Xander Landen,"Some House members pushed to decriminalize buprenorphine, a prescription drug used to quell opioid withdrawal symptoms. Proponents of the bill, H.162, said decriminalization could help save lives—deterring users from more dangerous substances like heroin and fentanyl. But the proposal stalled in a House committee, which plans to take it up again in January.",https://vtdigger.org/tag/h-162/
